symbol,yf_symbol,name,sector,industry,country,ipoyear,market_cap,nasdaq_last_price,nasdaq_volume,nasdaq_dollar_volume,start_date,start_adj_close,latest_date,latest_adj_close,one_month_return,history_observations
VAC,VAC,Marriott Vacations Worldwide Corporation Common Stock,Finance,Real Estate,United States,,3206955316.0,93.38,482459.0,45052021.419999994,2026-05-12,71.69371032714844,2026-06-12,93.37999725341797,0.30248520863701955,44
BROS,BROS,Dutch Bros Inc. Class A Common Stock,Consumer Discretionary,Restaurants,United States,2021,11507573390.0,65.89,4831010.0,318315248.9,2026-05-12,50.68000030517578,2026-06-12,65.88999938964844,0.30011837002533137,44
NBIS,NBIS,Nebius Group N.V. Class A Ordinary Shares,Technology,Computer Software: Programming Data Processing,Netherlands,2011,58995784358.0,232.36,17136008.0,3981722818.88,2026-05-12,179.11000061035156,2026-06-12,232.36000061035156,0.2973033321341101,44
PANW,PANW,Palo Alto Networks Inc. Common Stock,Technology,Computer peripheral equipment,United States,,227890300000.0,279.62,6773036.0,1893876326.32,2026-05-12,215.60000610351562,2026-06-12,279.6199951171875,0.2969387161470398,44
HROW,HROW,Harrow Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,United States,,1403035027.0,37.64,740823.0,27884577.72,2026-05-12,29.030000686645508,2026-06-12,37.63999938964844,0.2965896830641046,44
VVX,VVX,V2X Inc. Common Stock,Consumer Discretionary,Diversified Commercial Services,United States,2014,2843280079.0,90.81,451049.0,40959759.69,2026-05-12,70.13999938964844,2026-06-12,90.80999755859375,0.2946962981011356,44
CRI,CRI,Carter's Inc. Common Stock,Consumer Discretionary,Apparel,United States,2003,1576816506.0,42.79,855595.0,36610910.05,2026-05-12,33.096256256103516,2026-06-12,42.790000915527344,0.29289550408397425,44
ADPT,ADPT,Adaptive Biotechnologies Corporation Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),United States,2019,2816781299.0,17.6,2979943.0,52446996.800000004,2026-05-12,13.630000114440918,2026-06-12,17.600000381469727,0.2912692761332125,44
CNK,CNK,Cinemark Holdings Inc Cinemark Holdings Inc. Common Stock,Consumer Discretionary,Movies/Entertainment,United States,2007,3947426254.0,33.8,2843727.0,96117972.6,2026-05-12,26.19297981262207,2026-06-12,33.79999923706055,0.290422070297353,44
CMPS,CMPS,COMPASS Pathways Plc American Depository Shares,Health Care,Biotechnology: Pharmaceutical Preparations,United Kingdom,2020,1630187786.0,12.08,2513126.0,30358562.080000002,2026-05-12,9.369999885559082,2026-06-12,12.079999923706055,0.2892209254264333,44
WERN,WERN,Werner Enterprises Inc. Common Stock,Industrials,Trucking Freight/Courier Services,United States,1986,2635407055.0,43.96,729620.0,32074095.2,2026-05-12,34.119998931884766,2026-06-12,43.959999084472656,0.28839391736886943,44
ODFL,ODFL,Old Dominion Freight Line Inc. Common Stock,Industrials,Trucking Freight/Courier Services,United States,1991,51108205547.0,245.75,1075482.0,264299701.5,2026-05-12,190.8780517578125,2026-06-12,245.75,0.2874712295985158,44
AMRX,AMRX,Amneal Pharmaceuticals Inc. Class A Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,United States,,5168169230.0,16.2,2331136.0,37764403.199999996,2026-05-12,12.600000381469727,2026-06-12,16.200000762939453,0.28571430733955294,44
FTNT,FTNT,Fortinet Inc. Common Stock,Technology,Computer peripheral equipment,United States,2009,107186459603.0,146.3,5083708.0,743746480.4000001,2026-05-12,113.87000274658203,2026-06-12,146.3000030517578,0.28479845018840333,44
BIRK,BIRK,Birkenstock Holding plc Ordinary Shares,Consumer Discretionary,Shoe Manufacturing,,2023,8965420230.0,48.75,3867415.0,188536481.25,2026-05-12,37.95000076293945,2026-06-12,48.75,0.28458495441210685,44
